PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Timothe Luwawu-Cabarrot,PHI,22,69,23,46,17.2,6.4,2.1,5.2,40.2,0.7,2.3,31.1,1.5,1.8,85.4,0.4,1.8,2.2,1.1,1.1,0.5,0.1,2.2,11.4,0,0,-0.8
Alan Williams,PHX,24,47,11,36,15.1,7.4,2.9,5.7,51.7,0,0,0,1.5,2.4,62.5,2,4.2,6.2,0.5,0.8,0.6,0.7,2.7,18.5,15,0,0
Alex Len,PHX,24,77,21,56,20.3,8,3,6,49.7,0,0.2,25,1.9,2.7,72.1,2,4.6,6.6,0.6,1.3,0.5,1.3,3.1,20.7,11,0,-5.2
Brandon Knight,PHX,25,54,16,38,21.1,11,3.9,9.7,39.8,0.8,2.6,32.4,2.4,2.9,85.7,0.5,1.7,2.2,2.4,1.6,0.5,0.1,1.6,17.4,0,0,-6
Derrick Jones Jr.,PHX,20,32,7,25,17,5.3,2.1,3.8,56.2,0.1,0.3,27.3,0.9,1.3,70.7,1.2,1.3,2.5,0.4,0.4,0.4,0.4,2,10.9,0,0,1
Devin Booker,PHX,20,78,24,54,35,22.1,7.8,18.3,42.3,1.9,5.2,36.3,4.7,5.7,83.2,0.6,2.6,3.2,3.4,3.1,0.9,0.3,3.1,31.6,0,0,-2.9
Dragan Bender,PHX,19,43,13,30,13.3,3.4,1.3,3.7,35.4,0.7,2.3,27.7,0.1,0.3,36.4,0.5,1.9,2.4,0.5,0.7,0.2,0.5,1.7,8.6,1,0,-0.6
Elijah Millsap,PHX,29,2,1,1,11.6,1.5,0.5,3.5,14.3,0,1,0,0.5,1,50,1.5,1.5,3,0.5,1,0,0,1,4.9,0,0,-3
Eric Bledsoe,PHX,27,66,22,44,33,21.1,6.8,15.7,43.4,1.6,4.7,33.5,5.9,6.9,84.7,0.8,4.1,4.8,6.3,3.4,1.4,0.5,2.5,38.5,7,1,-2.8
Jared Dudley,PHX,31,64,17,47,21.3,6.8,2.5,5.4,45.4,1.2,3.2,37.9,0.7,1,66.2,0.5,3,3.5,1.9,1.1,0.7,0.3,2.4,15.4,0,0,-0.7
Jarell Eddie,PHX,25,5,0,5,12.5,4.8,1.2,3.8,31.6,0.8,3.2,25,1.6,1.8,88.9,0.2,1.2,1.4,0,0.2,0.2,0,0.2,6.9,0,0,-1
John Jenkins,PHX,26,4,0,4,3.2,1.8,0.5,1.3,40,0.3,0.5,50,0.5,0.5,100,0,0.3,0.3,0.3,0,0,0,0,2.4,0,0,2.3
Leandro Barbosa,PHX,34,67,20,47,14.4,6.3,2.6,5.9,43.9,0.5,1.5,35.7,0.6,0.7,88.9,0.2,1.3,1.6,1.2,0.7,0.5,0.1,1.2,11,0,0,-1
Marquese Chriss,PHX,19,82,24,58,21.3,9.2,3.5,7.7,44.9,0.9,2.7,32.1,1.4,2.2,62.4,1.2,3.1,4.2,0.7,1.3,0.8,0.9,3.2,19.1,3,0,-4.7
Ronnie Price,PHX,34,14,4,10,9.6,1,0.3,1.7,16.7,0.2,1.2,17.6,0.2,0.3,75,0.2,0.6,0.8,1.3,0.2,0.8,0.1,1,6.2,0,0,-3.1
T.J. Warren,PHX,23,66,20,46,31,14.4,6.1,12.3,49.5,0.4,1.5,26.5,1.8,2.3,77.3,1.9,3.2,5.1,1.1,0.9,1.2,0.6,2.7,26.6,5,0,-4.3
Tyler Ulis,PHX,21,61,15,46,18.4,7.3,3,7.2,42.1,0.3,1.3,26.6,0.9,1.2,77.5,0.3,1.2,1.6,3.7,1.3,0.8,0.1,1.2,16,6,0,-2.3
Tyson Chandler,PHX,34,47,15,32,27.6,8.4,3.3,4.9,67.1,0,0,0,1.9,2.6,73.4,3.3,8.2,11.5,0.6,1.4,0.7,0.5,2.7,25.4,12,0,-1.6
Al-Farouq Aminu,POR,26,61,33,28,29.1,8.7,3,7.6,39.3,1.1,3.5,33,1.6,2.2,70.6,1.3,6.1,7.4,1.6,1.5,1,0.7,1.7,23.6,4,0,0.4
Allen Crabbe,POR,25,79,39,40,28.5,10.7,3.8,8.2,46.8,1.7,3.8,44.4,1.3,1.6,84.7,0.2,2.6,2.9,1.2,0.8,0.7,0.3,2.2,17.9,0,0,-1.5
CJ McCollum,POR,25,80,40,40,34.9,23,8.7,18,48,2.3,5.5,42.1,3.4,3.7,91.2,0.8,2.9,3.6,3.6,2.2,0.9,0.5,2.5,34.8,1,0,0.8
Damian Lillard,POR,26,75,38,37,35.9,27,8.8,19.8,44.4,2.9,7.7,37,6.5,7.3,89.5,0.6,4.3,4.9,5.9,2.6,0.9,0.3,2,42.6,11,0,1.1
Ed Davis,POR,28,46,19,27,17.2,4.3,1.6,3.1,52.8,0,0,0,1.1,1.8,61.7,2.1,3.2,5.3,0.6,0.8,0.3,0.5,3,13.2,3,0,-2.8
Evan Turner,POR,28,65,34,31,25.5,9,3.6,8.5,42.6,0.5,1.8,26.3,1.3,1.6,82.5,0.6,3.2,3.8,3.2,1.5,0.8,0.4,1.9,20.3,2,0,-2.7
Jake Layman,POR,23,35,16,19,7.1,2.2,0.7,2.5,29.2,0.4,1.5,25.5,0.4,0.5,76.5,0.2,0.5,0.7,0.3,0.3,0.3,0.1,0.6,4.2,0,0,0
Jusuf Nurkic,POR,22,65,34,31,21.4,10.2,4.2,8.2,50.7,0,0,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,2.2,0.8,1.1,2.5,25.2,13,0,-0.8
